24-06-24 00:01:28.471 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false 
24-06-24 00:01:28.471 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null 
24-06-24 00:01:28.471 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false 
24-06-24 00:01:28.471 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false 
24-06-24 00:01:28.471 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true 
24-06-24 00:01:28.472 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true 
24-06-24 00:01:28.472 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server 
24-06-24 00:01:28.895 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200 
24-06-24 00:01:28.899 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 49 
24-06-24 00:01:28.906 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4 
24-06-24 00:01:28.913 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1719167488913 with initial instances count: 5 
24-06-24 00:01:28.921 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application HOTALSERVICES with eureka with status UP 
24-06-24 00:01:28.922 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1719167488922, current=UP, previous=STARTING] 
24-06-24 00:01:28.927 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"] 
24-06-24 00:01:28.946 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082: registering service... 
24-06-24 00:01:28.982 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/' 
24-06-24 00:01:28.985 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8082 
24-06-24 00:01:29.030 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082 - registration status: 204 
24-06-24 00:01:30.000 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname 
